word,tfidf
participants,5.6938485194487445
code,4.143162357594909
research,3.334073902112122
information,3.2489866812624357
persons,3.1730013874447436
necessary,3.0411653971110826
ensure,3.007281837724067
226,2.7312788429272628
french,2.5481143462054927
browser,2.1109011527707384
identifying,2.0959124967730474
non,2.0959124967730474
web,2.086583892099928
via,2.04740434820387
subjects,1.977058573946954
electronically,1.8944143935424447
subject,1.8650155663856056
entered,1.8246557217738997
case,1.727930789657055
report,1.692240590441492
collected,1.615380586730032
personal,1.5969827191048425
obtained,1.5880532977827544
relating,1.5779729491262857
well,1.5648517671963267
names,1.550946323090183
bound,1.5178894560428196
shall,1.5162923595777402
collaborators,1.5083955342222641
accessed,1.5083955342222641
medicinal,1.5083955342222641
secrecy,1.5036409188620334
identity,1.5036409188620334
take,1.5036409188620334
circumstances,1.5036409188620334
addresses,1.5036409188620334
precautions,1.5036409188620334
confidentiality,1.5036409188620334
results,1.5036409188620334
professional,1.5036409188620334
strictly,1.5036409188620334
specialised,1.4999533158556988
shown,1.4999533158556988
sent,1.4999533158556988
particular,1.4999533158556988
products,1.4691982219706867
form,1.4675163004661909
investigational,1.4674909411688999
recorded,1.4045895305182974
electronic,1.3830971515747252
article,1.3791771179482362
articles,1.3791771179482362
1121,1.3656394214636314
13,1.3656394214636314
conditions,1.3656394214636314
health,1.3656394214636314
public,1.3656394214636314
14,1.3656394214636314
accordance,1.3640469364573613
concerning,1.3511340321313021
set,1.3477470059157428
criminal,1.3407657335384215
initials,1.3327169808274002
de,1.3080818701684325
involved,1.2948645427584533
order,1.2818698972775968
indicating,1.2818698972775968
permission,1.2813522246847104
given,1.2728383420665281
written,1.2594045592853722
specific,1.2488152101681143
enrolment,1.2488152101681143
entry,1.2330103164776747
participant,1.2228763569932721
rendered,1.2228763569932721
number,1.1533639426941278
carried,1.1329270060762515
writing,1.1079354252573232
media,1.0982924322278276
anonymised,1.0385154000468448
accompanied,1.0300554604790622
agreed,0.9991166569203972
penal,0.9799541975722296
encoded,0.9739018998208574
publique,0.8901580401087625
staff,0.8532211520546309
involving,0.8492259185649297
human,0.8492259185649297
la,0.8492259185649297
sante,0.8492259185649297
access,0.8490659097165575
biomedical,0.834531591238014
identification,0.8010392349737244
dedicated,0.7935876408588896
must,0.7657507306557452
task,0.7569167265858789
along,0.701901150452866
made,0.651296864050221
forms,0.6044641300403347
consent,0.5866885779970504
documents,0.4875098222227584
according,0.4752088692116681
protection,0.46442370741409444
team,0.4566923819081269
et,0.4406069388687564
name,0.4306545609951765
chapter,0.42682446748204883
database,0.42388113401813077
experimental,0.41390925514510135
statistical,0.40815169263993645
coded,0.40586145696291165
storage,0.3955308031632949
first,0.39452869385467526
parties,0.3934553515238587
individuals,0.3934553515238587
medications,0.3934553515238587
protocol,0.3801371414115039
investigator,0.36958151836410547
nationale,0.3567120475387813
date,0.3548463487015446
duplicate,0.34282622834025456
hospital,0.34282622834025456
processing,0.3396145537711958
paris,0.33444021694928255
medical,0.333869112791017
paper,0.333869112791017
required,0.3329354897014296
done,0.325623083979764
france,0.31600919005531425
medium,0.30955074481372485
defined,0.3009128184785087
law,0.29708272496538113
signed,0.29708272496538113
missing,0.294234539506867
crfs,0.294234539506867
person,0.2829017763986306
louis,0.2818058972646488
collecting,0.2818058972646488
saint,0.2818058972646488
cleanweb,0.28052709492999656
personnel,0.2676364349906915
coordinating,0.2676364349906915
independent,0.26287943217471554
last,0.26287943217471554
informatique,0.2627038461169224
commission,0.2627038461169224
libertés,0.2627038461169224
transmitted,0.2573078616230822
related,0.2573078616230822
clearly,0.23757262603322055
computer,0.22510460618487682
register,0.22510460618487682
copies,0.22510460618487682
end,0.21587852817790898
place,0.21587852817790898
monitoring,0.21587852817790898
facilitate,0.18149964932945029
whether,0.18149964932945029
