word,tfidf
analysis,1.9526269965307086
month,1.7879952237717935
arm,1.7176296748597248
randomized,1.4487561106105082
test,1.4132514865492347
subjects,1.378853896059161
response,1.3776186700930415
based,1.309008757989835
week,1.259087668259212
95,1.2412409794711314
endpoints,1.217081132945754
probability,1.1511517642015603
analyses,1.1311542784400148
primary,1.1075043967368368
rate,1.1057733552973668
characteristics,1.0480602531169956
statistical,1.047707133008878
arms,1.0365530286075046
compared,1.0184507750890337
two,0.9977626995871463
stage,0.948150328335869
data,0.9366300235596419
endpoint,0.9343424200040664
treat,0.9252883260186737
interim,0.9196184571699193
risk,0.9093125857583504
end,0.8945520190544695
estimated,0.8885611329670507
bayesian,0.8818120975872067
efficacy,0.8707467640540134
05,0.8610200169486997
posterior,0.8534091577406836
intent,0.8358754885117405
used,0.834395859708729
models,0.8310795375328164
tests,0.8269888071142806
time,0.8263024261150208
survival,0.8204610694169258
number,0.8150448642692414
sided,0.8098373882350317
non,0.8091355715130799
safety,0.7942663809949193
median,0.7868672223782391
adverse,0.7868523938049323
drug,0.783053650055376
event,0.7678422818141797
events,0.7644027589731675
measures,0.7538589470048486
12,0.7532686959608076
one,0.7475888236468022
thus,0.7440647427590353
group,0.7436899939610777
informative,0.7422177641257446
criteria,0.7223354120198575
secondary,0.7213742800734836
set,0.7212551658320722
inclusion,0.7191396047735971
described,0.7151849121212548
effect,0.7052383258857937
sample,0.7027356972775726
planned,0.7005436982439065
competing,0.6929522070557597
type,0.6913727754825059
computed,0.6883241032267845
design,0.6844413134117069
incidence,0.6799759259849288
range,0.678359407774875
ii,0.6771799556361171
model,0.6741088087475604
size,0.6690236007626102
phase,0.6675506751193371
included,0.6659716052247409
interquartile,0.6645066684244891
confidence,0.6580240625019392
cohort,0.6419721562951806
risks,0.6391730350626861
first,0.6388470525896695
criterion,0.6374526143305284
ci,0.6360044620435479
sas,0.630559960889348
comparison,0.6295067287144906
considered,0.6294484723299018
summary,0.6218123464289843
log,0.6207400937302182
16,0.6201790947554185
beta,0.6187895726778898
case,0.6187632514236248
error,0.6122514287102879
difference,0.6112862836314283
hazard,0.603268954455398
percentages,0.5997644030324657
presented,0.5962296390046209
counts,0.5954292552736675
point,0.593431814814172
24,0.5890028474443187
graft,0.5773260232567815
significance,0.5744073666991635
fixed,0.5698152646720904
whatever,0.5633810353645945
gray,0.5621990061954477
received,0.5585203794633161
control,0.5555990674788265
dose,0.5552571853883049
inferiority,0.5539850770712373
binomial,0.5472645311687251
censored,0.536028806372006
disease,0.5319536590883982
toxicity,0.5295345676835491
experimental,0.528261689165058
points,0.5275794288204296
according,0.5273815510266214
20,0.5233000810066407
intervals,0.5192113700032949
observed,0.5174558075371816
methods,0.5143439816287922
use,0.514320839627571
rank,0.5072896208983051
cox,0.5051149237373105
estimator,0.5030032731479347
inference,0.50192134532721
across,0.5018757272106562
means,0.49568090263689885
curves,0.4956175440564413
2014,0.49384721302696827
population,0.48937259282723033
without,0.48455312717090326
following,0.4833180210886049
versus,0.4821433613821453
exact,0.4815435116847252
follow,0.4788553228669945
groups,0.46938178164252914
level,0.4681912557627935
host,0.46753233417410966
weeks,0.467407035287506
baseline,0.4653628045814927
kaplan,0.46287339802626315
results,0.46134576372537417
given,0.46089360699204174
per,0.45397968866027977
proportional,0.45258388116315995
cumulative,0.44827219024146503
org,0.4426987719410769
available,0.44080318466174245
summarized,0.43827403795500974
hazards,0.43620646981667094
right,0.43611882411546393
quantitative,0.4312852502457357
months,0.42728872851534566
disposition,0.4267425832681647
calculated,0.4260030051294037
adjustment,0.4234351189236567
meier,0.41989096314921925
see,0.41904899970886045
free,0.41702709952397554
interval,0.41407164665495155
analysed,0.4135678078386638
frequency,0.4102181180010705
categorical,0.4068691153959457
main,0.40536568420265673
estimates,0.4005088281110901
software,0.3999117358587064
project,0.3999117358587064
measured,0.39926507749811757
iqr,0.3991706258321517
potential,0.39731217330809704
www,0.39344502528722225
still,0.3917929158364919
remission,0.3895589950587481
due,0.38857970451372686
distribution,0.38816110544362437
nonparametric,0.38785474775720147
required,0.3852614472459494
greater,0.3841482661448764
factors,0.3839679621314155
includes,0.3823445375659532
new,0.380889032673314
including,0.3803105322494608
days,0.37985872126087467
prior,0.3791748380119166
ratio,0.3742051173967421
combination,0.37118693278844916
general,0.3701464596726795
questions,0.36932338471415826
superiority,0.36932338471415826
to,0.3675821967501901
threshold,0.3634287993406201
rules,0.3596733686183625
post,0.3591873532416552
prognostic,0.3558218313660778
15,0.3529714277508978
continuous,0.3512884654093062
terminal,0.3512841572346587
inclusions,0.3511303094741564
considering,0.3507821881478074
strategy,0.34897133758504373
packages,0.34758384879570425
package,0.3475733225923287
relapse,0.3474946294016439
value,0.34737526468701624
enrolment,0.34453563119548003
less,0.34140087588781365
transplant,0.3395795363613743
distributions,0.339470299033072
death,0.3393118536852218
randomization,0.3383273685273933
statistics,0.33828567906491724
respectively,0.3379049217576236
transplantation,0.33573650546687767
sensitivity,0.3352918135207493
similarly,0.3338889807255049
administered,0.3311517135809332
within,0.32800991547855385
stopping,0.32709455527731535
assessed,0.3270280939509916
trials,0.32296812951785897
random,0.3217566984597503
completed,0.3212490195226865
unless,0.32071060776334165
overall,0.3204774440552522
consent,0.3186753345694258
ratios,0.31847914339785505
percentage,0.31799050607539836
principle,0.31787898171342965
10,0.3159517080733094
day,0.3153041889874346
inc,0.315279980444674
cary,0.315279980444674
nc,0.315279980444674
actually,0.31350138185015586
adapted,0.3101250921597225
http,0.3094673004846096
total,0.30876673893618617
setting,0.30639256957672323
adjusted,0.3059673131283315
cells,0.30457813968323244
40,0.304406324711503
defined,0.30374236260538123
observations,0.30300751988946895
confounders,0.3009423147539836
alpha,0.30036729690522757
information,0.299887331770672
either,0.29878955277771174
report,0.29830931352605483
best,0.29814568073264586
linear,0.2976241446053494
high,0.29726242517972795
stopped,0.2969488844293975
mean,0.296064359833994
30,0.2957813854873398
basis,0.2905992086035973
binary,0.2899952256739982
100,0.28963457101531986
prevalence,0.28780698291081597
monitoring,0.2860019906253988
60,0.2860000163358024
logrank,0.28349369220614606
protocol,0.2826142478010012
done,0.2808387974426348
enrolled,0.2804637518420734
censoring,0.2796439302140314
grfs,0.2771725766350527
estimation,0.2768794582812839
related,0.2760077179493412
logistic,0.2756090059346865
estimations,0.275490441738844
historical,0.27428182753269154
estimate,0.272257889685943
treated,0.27217929776789057
stop,0.2718664416456496
borr,0.2710137968336138
reasons,0.2704374535587126
treatments,0.2698824850283943
receive,0.2681543559254015
stem,0.2670816145154842
conducted,0.2664712846276765
objective,0.26634700891179997
interest,0.26609193081728233
summarize,0.26584852957437777
expected,0.26443366894062015
could,0.26252632854379837
minimal,0.26138464697637526
testing,0.2611563899022606
corresponding,0.2610065241755242
demographic,0.25969182902309024
complete,0.2588884498294204
https,0.25869661422848605
cell,0.2580161631373595
approach,0.2574756377560321
discontinuation,0.25647760018543636
relative,0.25487961323966385
proportions,0.25487961323966385
analyzed,0.25461933590524555
specific,0.2534222972883865
status,0.2519905905161423
